year;month;IIiii;G1;Po;G1;P;G1;sn;T;st;G1;sn;Tx;sn;Tn;G1;e;G1;R1;Rd;nr;G1;S1;ps;G1;mp;mT;mTx;mTn;G1;me;mR;mS;G2;Yb;Yc;G2;Po;G2;P;G2;sn;T;st;G2;sn;Tx;sn;Tn;G2;e;G2;R1;nr;G2;S1;G2;YP;YT;YTx;G2;Ye;YR;YS;G3;T25;T30;G3;T35;T40;G3;Tn0;Tx0;G3;R01;R05;G3;R10;R50;G3;R100;R150;G3;s00;s01;G3;s10;s50;G3;f10;f20;f30;G3;V1;V2;V3;G4;sn;Txd;yx;G4;sn;Tnd;yn;G4;sn;Tax;yax;G4;sn;Tan;yan;G4;Rx;yr;G4;iw;fx;yfx;G4;Dts;Dgr;G4;iy;Gx;Gn
2020;02;01001;1;09897;2;09909;3;1;040;039;4;1;021;1;060;5;036;6;0046;3;10;;;;8;00;00;0;0;9;00;00;29;0;61;90;1;10060;2;10045;3;1;061;060;4;1;033;1;090;5;036;6;0054;11;;;8;00;00;00;9;00;00;//;0;00;00;1;00;00;2;25;19;3;10;03;4;01;00;5;00;00;;;;;;;8;24;02;00;9;01;01;11;0;0;028;07;1;1;092;03;2;0;051;07;3;1;112;04;4;0107;07;5;1;301;21;6;00;00;7;2;18;18
2020;02;01007;1;09890;2;09900;3;1;155;056;4;1;126;1;186;5;015;6;0033;4;08;;;;8;00;00;0;0;9;00;00;29;0;61;90;1;10073;2;10062;3;1;146;080;4;1;102;1;184;5;020;6;0039;07;;;8;14;14;14;9;14;14;;0;00;00;1;00;00;2;29;29;3;08;01;4;01;00;5;00;00;6;29;29;7;11;00;8;07;00;00;9;00;00;03;0;1;047;08;1;1;242;27;2;1;028;08;3;1;269;27;4;0137;19;5;1;261;07;6;00;00;7;2;18;18
2020;02;01008;1;09861;2;09898;3;1;155;055;4;1;123;1;184;5;014;6;0003;0;00;;;;8;00;00;0;0;9;00;00;29;0;61;90;;;;;3;1;162;;;;;;;;;6;0021;05;;;8;15;15;15;9;16;15;;0;00;00;1;00;00;2;29;29;3;00;00;4;00;00;5;00;00;6;29;23;7;00;00;8;12;00;00;9;00;00;00;0;1;057;08;1;1;247;28;2;1;004;08;3;1;271;28;4;0007;01;5;1;193;07;6;00;00;7;2;18;18
2020;02;01025;1;09834;2;09846;3;1;014;026;4;0;008;1;036;5;044;6;0140;5;23;;;;8;00;00;0;0;9;00;00;29;0;61;90;1;10067;2;10056;3;1;037;046;4;1;012;1;064;5;038;6;0087;13;;;8;04;04;04;9;04;04;;0;00;00;1;00;00;2;26;09;3;23;11;4;06;00;5;00;00;6;29;29;7;29;07;8;15;00;00;;;;;0;0;037;08;1;1;073;15;2;0;050;07;3;1;112;16;4;0205;02;5;1;217;06;;;;7;2;18;18
2020;02;01026;1;09706;2;09846;3;1;017;027;4;0;004;1;037;5;044;6;0148;5;21;7;007;021;8;00;00;0;0;9;00;00;00;0;61;90;1;10069;2;09924;3;1;042;045;4;1;021;1;065;5;037;6;0088;13;7;032;8;00;00;00;9;00;00;00;0;00;00;1;00;00;2;26;11;3;21;12;4;06;00;5;00;00;6;29;29;7;29;29;8;03;00;00;9;00;00;12;0;0;037;08;1;1;065;15;2;0;048;08;3;1;097;16;4;0170;02;5;1;218;04;6;01;04;7;2;18;18
2020;02;01028;1;09834;2;09854;3;1;076;047;4;1;049;1;102;5;031;6;0084;6;15;;;;8;00;00;0;0;9;00;00;29;0;61;90;1;10055;2;10036;3;1;077;068;4;1;047;1;109;5;035;6;0032;09;7;006;8;00;00;00;9;00;00;00;0;00;00;1;00;00;2;29;26;3;15;04;4;03;00;5;00;00;;;;;;;8;23;01;00;9;01;01;14;0;0;006;08;1;1;163;28;2;0;026;08;3;1;174;28;4;0191;29;5;1;259;11;6;00;01;7;2;18;18
2020;02;01065;1;09702;2;09869;3;1;124;079;4;1;062;1;184;5;025;6;0033;6;12;7;047;;8;00;00;0;0;9;00;00;00;0;61;90;;;;;3;1;154;;;;;;;;;;;;;;8;;;;9;;;;0;00;00;1;00;00;2;29;22;3;12;00;4;00;00;5;00;00;6;28;28;7;28;28;8;00;00;00;9;00;00;02;0;0;005;22;1;1;285;14;2;0;022;22;3;1;320;14;4;0048;26;5;1;172;20;6;00;00;7;2;18;18
2020;02;01098;1;09822;2;09840;3;1;031;031;4;1;007;1;057;5;043;6;0092;5;20;;;;8;00;00;0;0;9;00;00;29;0;61;90;1;10066;2;10048;3;1;054;040;4;1;030;1;079;5;038;6;0042;12;;;8;00;00;00;9;00;00;;0;00;00;1;00;00;2;27;17;3;20;07;4;00;00;5;00;00;;;;;;;8;24;01;00;;;;;0;0;024;08;1;1;080;01;2;0;038;08;3;1;108;05;4;0096;20;5;1;279;21;;;;7;2;18;18
2020;02;01114;1;09856;2;09866;3;0;007;030;4;0;039;1;032;5;051;6;0127;3;22;;;;8;00;00;0;0;9;00;00;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;00;00;1;00;00;2;21;01;3;22;13;4;01;00;5;00;00;6;19;18;7;00;00;8;12;00;00;9;00;00;00;0;0;054;07;1;1;060;26;2;0;076;59;3;1;106;54;4;0146;07;5;1;289;23;6;01;04;7;2;18;18
2020;02;01152;1;09850;2;09866;3;0;006;022;4;0;030;1;017;5;048;6;0099;5;21;;;;8;00;00;0;0;9;00;00;29;0;61;90;1;10080;2;10064;3;1;020;045;4;0;003;1;043;5;043;6;0064;12;7;043;8;00;00;00;9;00;00;00;0;00;00;1;00;00;2;17;02;3;21;06;4;02;00;5;00;00;;;;;;;8;11;00;00;9;00;00;06;0;0;039;57;1;1;034;04;2;0;062;08;3;1;078;04;4;0197;07;5;1;280;16;6;00;06;7;2;18;18
